WELL_ID,DATE,CURRENT,PRESS_DESC,FREQUENCY,PRESS_INT,TEMP_INT,TEMP_MOT,OUT_VOLT,VIBRATION,PRESS_INTK,TEMP_INTK,WellFailure
DEEPWATER-000XAR,2019-02-25,72.42,4252.87,57.44,,,281.56,0.0,0.17,1443.97,222.71,
DEEPWATER-000XAR,2019-02-26,72.77,4203.62,57.44,,,281.09,0.0,0.15,1414.84,222.8,
DEEPWATER-000XAR,2019-02-27,72.29,4271.55,57.45,,,281.55,0.0,0.15,1449.17,222.72,
DEEPWATER-000XAR,2019-03-03,72.25,4235.13,57.44,,,280.89,0.0,0.17,1432.86,222.72,
DEEPWATER-000XAR,2019-03-04,71.97,4216.12,57.44,,,280.57,0.0,0.16,1425.79,222.77,
DEEPWATER-000XAR,2019-03-05,72.42,4207.49,57.44,,,280.54,0.0,0.18,1417.5,222.79,
DEEPWATER-000XAR,2019-03-06,71.99,4295.45,57.44,,,281.25,0.0,0.17,1465.02,222.67,
DEEPWATER-000XAR,2019-03-15,72.67,4239.14,57.45,,,280.28,0.0,0.18,1456.24,222.7,
DEEPWATER-000XAR,2019-03-16,72.45,4242.15,57.44,,,280.17,0.0,0.15,1449.2,222.68,
DEEPWATER-000XAR,2019-03-17,72.43,4218.98,57.44,,,279.96,0.0,0.14,1436.67,222.7,
DEEPWATER-000XAR,2019-03-18,72.33,4208.28,57.45,,,279.97,0.0,0.18,1433.12,222.7,
DEEPWATER-000XAR,2019-03-19,72.29,4275.98,57.44,,,280.6,0.0,0.16,1464.82,222.64,
DEEPWATER-000XAR,2019-03-20,72.1,4252.3,57.44,,,280.02,0.0,0.14,1442.67,222.68,
DEEPWATER-000XAR,2019-03-21,72.38,0.0,57.43,,,0.0,0.0,0.0,0.0,0.0,
DEEPWATER-000XAR,2019-03-22,72.54,0.0,57.45,,,0.0,0.0,0.0,0.0,0.0,
DEEPWATER-000XAR,2019-03-23,72.59,0.0,57.43,,,0.0,0.0,0.0,0.0,0.0,
DEEPWATER-000XAR,2019-03-30,71.86,4218.49,57.43,,,278.99,0.0,0.17,1435.46,222.68,
DEEPWATER-000XAR,2019-03-31,71.6,4271.3,57.43,,,278.9,0.0,0.17,1445.67,222.68,
DEEPWATER-000XAR,2019-04-01,71.59,4301.32,57.44,,,279.54,0.0,0.15,1475.96,222.6,
DEEPWATER-000XAR,2019-04-02,71.49,4311.97,57.44,,,279.31,0.0,0.15,1472.01,222.6,
DEEPWATER-000XAR,2019-04-03,71.81,4235.02,57.44,,,278.64,0.0,0.18,1431.26,222.69,
DEEPWATER-000XAR,2019-04-04,71.81,4266.77,57.44,,,279.07,0.0,0.15,1451.26,222.67,
DEEPWATER-000XAR,2019-04-05,55.68,3928.69,44.96,,,268.01,0.0,0.16,1633.96,223.18,
DEEPWATER-000XAR,2019-04-06,70.43,4388.25,57.43,,,277.9,0.0,0.15,1465.16,222.65,
DEEPWATER-000XAR,2019-04-07,70.68,4322.89,57.44,,,277.43,0.0,0.16,1431.4,222.73,
DEEPWATER-000XAR,2019-04-08,70.04,4440.22,57.43,,,277.89,0.0,0.17,1470.32,222.63,
DEEPWATER-000XAR,2019-04-09,69.95,4465.88,57.44,,,278.01,0.0,0.16,1482.05,222.6,
DEEPWATER-000XAR,2019-04-10,70.19,4415.54,57.45,,,277.71,0.0,0.15,1462.95,222.63,
DEEPWATER-000XAR,2019-04-11,70.76,4341.65,57.45,,,277.57,0.0,0.17,1440.64,222.69,
DEEPWATER-000XAR,2019-04-12,70.94,4298.03,57.44,,,277.52,0.0,0.17,1427.13,222.68,
DEEPWATER-000XAR,2019-04-13,68.46,4115.5,55.17,,,274.78,0.0,0.16,1475.27,223.23,
DEEPWATER-000XAR,2019-04-14,71.24,4294.05,57.43,,,277.44,0.0,0.17,1435.53,222.66,
DEEPWATER-000XAR,2019-04-15,71.58,4231.95,57.44,,,277.99,0.0,0.15,1439.45,222.67,
DEEPWATER-000XAR,2019-04-16,71.72,4179.07,57.43,,,277.78,0.0,0.15,1418.33,222.71,
DEEPWATER-000XAR,2019-04-17,71.74,4245.09,57.45,,,278.36,0.0,0.17,1442.18,222.65,
DEEPWATER-000XAR,2019-04-18,71.86,4303.4,57.44,,,279.04,0.0,0.14,1470.93,222.6,
