WELL_ID,DATE,BFPD,BOPD,BWPD,MSCF,BSW,GOR(MSFC/BPPD),GLR(SCF/BFPD),API,FREC(Hz),PIP(PSI),PROF_INTAKE,AMPERAGE,PUMP,PSI_CAB
DEEPWATER-000XAR,9/4/2017,2162.0,172.96,1989.04,21.45,92.0,124.02,9.92,18.6,,,9588.0,79.0,ESP-880,210.0
DEEPWATER-000XAR,9/2/2017,2120.0,169.6,1950.4,19.38,92.0,114.27,9.14,18.6,,,9588.0,84.0,ESP-880,230.0
DEEPWATER-000XAR,9/12/2019,1764.0,264.6,1499.4,32.86,85.0,124.19,18.63,18.6,55.0,1090.0,8366.0,72.0,ESP-880,100.0
DEEPWATER-000XAR,9/11/2017,1999.0,159.92,1839.08,19.84,92.0,124.06,9.92,18.6,,,8915.0,76.0,ESP-890,200.0
DEEPWATER-000XAR,9/10/2016,1826.0,127.82,1698.18,14.59,93.0,114.14,7.99,18.6,,,,,ESP-100,260.0
DEEPWATER-000XAR,8/5/2021,2040.0,224.4,1815.6,27.83,89.0,124.02,13.64,18.6,59.0,1024.0,8366.0,84.0,ESP-880,300.0
DEEPWATER-000XAR,8/5/2019,1750.0,87.5,1662.5,10.79,95.0,123.31,6.17,18.6,56.0,1523.0,8915.0,69.0,ESP-890,360.0
DEEPWATER-000XAR,8/1/2020,1650.0,247.5,1402.5,30.63,85.0,123.76,18.56,18.6,55.0,1073.0,8366.0,72.0,ESP-880,100.0
DEEPWATER-000XAR,7/4/2021,1920.0,211.2,1708.8,26.19,89.0,124.01,13.64,18.6,59.0,929.0,8366.0,85.0,ESP-880,300.0
DEEPWATER-000XAR,7/3/2016,1810.0,181.0,1629.0,20.63,90.0,113.98,11.4,18.6,,,,,ESP-100,450.0
DEEPWATER-000XAR,7/12/2020,1900.0,247.0,1653.0,30.63,87.0,124.01,16.12,18.6,57.0,1030.0,8366.0,83.0,ESP-880,200.0
DEEPWATER-000XAR,7/1/2021,1918.0,249.34,1668.66,30.92,87.0,124.01,16.12,18.6,59.0,944.0,8366.0,87.0,ESP-880,200.0
DEEPWATER-000XAR,7/1/2018,1990.0,159.2,1830.8,19.72,92.0,123.87,9.91,18.6,57.0,1384.0,8915.0,81.0,ESP-890,450.0
DEEPWATER-000XAR,6/4/2021,1920.0,249.6,1670.4,30.95,87.0,124.0,16.12,18.6,59.0,929.0,8366.0,85.0,ESP-880,300.0
DEEPWATER-000XAR,6/2/2017,2114.0,169.12,1944.88,19.27,92.0,113.94,9.12,18.6,,,,84.0,ESP-880,230.0
DEEPWATER-000XAR,6/10/2017,1990.0,159.2,1830.8,19.72,92.0,123.87,9.91,18.6,,,8915.0,79.0,ESP-890,320.0
DEEPWATER-000XAR,6/1/2020,1712.0,256.8,1455.2,31.87,85.0,124.1,18.62,18.6,55.0,1074.0,8366.0,72.0,ESP-880,100.0
DEEPWATER-000XAR,6/1/2017,2152.0,172.16,1979.84,19.61,92.0,113.91,9.11,18.6,,,,84.0,ESP-880,200.0
DEEPWATER-000XAR,6/1/2016,1854.0,185.4,1668.6,21.09,90.0,113.75,11.38,18.6,,,,,ESP-100,200.0
DEEPWATER-000XAR,5/9/2020,1670.0,217.1,1452.9,26.91,87.0,123.95,16.11,18.6,56.0,1146.0,8366.0,79.0,ESP-880,250.0
DEEPWATER-000XAR,5/8/2016,1792.0,125.44,1666.56,14.25,93.0,113.6,7.95,18.6,,,,,ESP-100,200.0
DEEPWATER-000XAR,4/9/2019,1720.0,172.0,1548.0,21.33,90.0,124.01,12.4,18.6,56.0,1425.0,8915.0,69.0,ESP-890,320.0
DEEPWATER-000XAR,4/7/2017,2101.0,168.08,1932.92,20.83,92.0,123.93,9.91,18.6,,,8915.0,73.0,ESP-890,210.0
DEEPWATER-000XAR,4/3/2017,2126.0,170.08,1955.92,19.38,92.0,113.95,9.12,18.6,,,9588.0,79.0,ESP-880,280.0
DEEPWATER-000XAR,4/12/2018,1928.0,134.96,1793.04,16.74,93.0,124.04,8.68,18.6,57.5,1369.0,8915.0,73.0,ESP-890,300.0
DEEPWATER-000XAR,4/10/2020,1720.0,223.6,1496.4,27.78,87.0,124.24,16.15,18.6,57.0,1079.0,8366.0,76.0,ESP-880,180.0
DEEPWATER-000XAR,4/10/2016,1790.0,125.3,1664.7,14.28,93.0,113.97,7.98,18.6,,,,,ESP-100,240.0
DEEPWATER-000XAR,31/8/2016,1784.0,124.88,1659.12,14.25,93.0,114.11,7.99,18.3,,,,,ESP-100,250.0
DEEPWATER-000XAR,31/7/2019,1740.0,174.0,1566.0,21.58,90.0,124.02,12.4,18.6,57.0,1419.0,8915.0,73.0,ESP-890,320.0
DEEPWATER-000XAR,31/5/2021,2000.0,220.0,1780.0,27.28,89.0,124.0,13.64,18.3,59.0,908.0,8366.0,85.0,ESP-880,250.0
DEEPWATER-000XAR,31/5/2016,1797.0,125.79,1671.21,14.34,93.0,114.0,7.98,18.6,,,,,ESP-100,230.0
DEEPWATER-000XAR,31/10/2017,1993.0,159.44,1833.56,19.72,92.0,123.68,9.89,18.6,,,8915.0,81.0,ESP-890,250.0
DEEPWATER-000XAR,31/1/2020,1660.0,249.0,1411.0,30.88,85.0,124.02,18.6,18.6,55.0,1071.0,8366.0,72.0,ESP-880,110.0
